
✗ Errors (1418)
| Check               | Artifact                                                                                                | Message                                                                                                                                                                                                                                                                                                            | Suggestion                                                                                                                                                                 |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/linkgraph/schema.py.md                                                 | [[foreign keys]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/linkgraph/schema.py.md                                                 | [[schema version]] does not resolve                                                                                                                                                                                                                                                                                | Did you mean [[Config Schema Extension]]?                                                                                                                                  |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/linkgraph/schema.py.md                                                 | [[artifacts]] does not resolve                                                                                                                                                                                                                                                                                     | Did you mean [[Artifact Model Pairs]]?                                                                                                                                     |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/linkgraph/schema.py.md                                                 | [[aliases]] does not resolve                                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/__init__.py.md                                                     | [[LLMService]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/__init__.py.md                                                     | [[RateLimiter]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/__init__.py.md                                                     | [[factory pattern]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/__init__.py.md                                                     | [[re-export]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/__init__.py.md                                                     | [[__all__ (module export list)]] does not resolve                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[Lexibrary configuration]] does not resolve                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[ClientRegistry]] does not resolve                                                                                                                                                                                                                                                                                | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[LLM provider]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[token budget]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[environment variables]] does not resolve                                                                                                                                                                                                                                                                         | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[retry policy]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[archivist]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/client_registry.py.md                                              | [[summarise]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[LLMConfig]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[RateLimiter]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[LLMService]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[environment variables]] does not resolve                                                                                                                                                                                                                                                                         | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[API keys]] does not resolve                                                                                                                                                                                                                                                                                      | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[factory pattern]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/factory.py.md                                                      | [[side effects (global state)]] does not resolve                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/rate_limiter.py.md                                                 | [[token bucket]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/rate_limiter.py.md                                                 | [[rate limiting]] does not resolve                                                                                                                                                                                                                                                                                 | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/rate_limiter.py.md                                                 | [[asyncio.Lock]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/rate_limiter.py.md                                                 | [[monotonic clock]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/rate_limiter.py.md                                                 | [[throttling]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/rate_limiter.py.md                                                 | [[leaky bucket]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/service.py.md                                                      | [[RateLimiter]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/service.py.md                                                      | [[BAML client]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/service.py.md                                                      | [[LLMServiceError]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/service.py.md                                                      | [[FileInput]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/service.py.md                                                      | [[batch processing]] does not resolve                                                                                                                                                                                                                                                                              | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/llm/service.py.md                                                      | [[async/await]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/index.py.md                                                  | [[trigger-file globs]] does not resolve                                                                                                                                                                                                                                                                            | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/index.py.md                                                  | [[playbook slug]] does not resolve                                                                                                                                                                                                                                                                                 | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/index.py.md                                                  | [[gitignore pattern style]] does not resolve                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/parser.py.md                                                 | [[frontmatter]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/parser.py.md                                                 | [[playbook]] does not resolve                                                                                                                                                                                                                                                                                      | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/serializer.py.md                                             | [[YAML frontmatter]] does not resolve                                                                                                                                                                                                                                                                              | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/serializer.py.md                                             | [[ISO 8601 dates]] does not resolve                                                                                                                                                                                                                                                                                | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/playbooks/template.py.md                                               | [[playbook templates]] does not resolve                                                                                                                                                                                                                                                                            | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/py.typed.md                                                            | [[PEP 561]] does not resolve                                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/py.typed.md                                                            | [[py.typed marker]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/py.typed.md                                                            | [[type checking]] does not resolve                                                                                                                                                                                                                                                                                 | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/py.typed.md                                                            | [[package metadata]] does not resolve                                                                                                                                                                                                                                                                              | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/py.typed.md                                                            | [[packaging (sdist/wheel)]] does not resolve                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[LinkGraph]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[ArtifactResult]] does not resolve                                                                                                                                                                                                                                                                                | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[FTS5 full-text search]] does not resolve                                                                                                                                                                                                                                                                         | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[ConceptIndex]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[ConventionIndex]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[StackIndex]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[PlaybookIndex]] does not resolve                                                                                                                                                                                                                                                                                 | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[multi-tag AND filtering]] does not resolve                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[scope filtering]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/search.py.md                                                           | [[artifact ID]] does not resolve                                                                                                                                                                                                                                                                                   | Did you mean [[Artifact Model Pairs]]?                                                                                                                                     |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/design.py.md                                                  | [[frontmatter]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/design.py.md                                                  | [[IWH blocked signal]] does not resolve                                                                                                                                                                                                                                                                            | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/impact.py.md                                                  | [[link graph]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/impact.py.md                                                  | [[design frontmatter]] does not resolve                                                                                                                                                                                                                                                                            | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/impact.py.md                                                  | [[reverse dependency analysis]] does not resolve                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/impact_render.py.md                                           | [[dependency tree]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/lookup_render.py.md                                           | [[IWH signals]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/lookup_render.py.md                                           | [[link graph]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/lookup_render.py.md                                           | [[stack posts]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/lookup_render.py.md                                           | [[playbooks]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/lookup_render.py.md                                           | [[conventions]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/status_render.py.md                                           | [[link graph]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/services/status_render.py.md                                           | [[cli formatting]] does not resolve                                                                                                                                                                                                                                                                                | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/stack/__init__.py.md                                                   | [[ResolutionType]] does not resolve                                                                                                                                                                                                                                                                                | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/stack/__init__.py.md                                                   | [[StackFinding]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
